-200.000000	0.000032
-190.000000	0.000034
-180.000000	0.000037
-170.000000	0.000040
-160.000000	0.000043
-150.000000	0.000047
-140.000000	0.000052
-130.000000	0.000058
-120.000000	0.000065
-110.000000	0.000074
-100.000000	0.000087
-90.000000	0.000105
-80.000000	0.000134
-70.000000	0.000191
-60.000000	0.000353
-50.000000	0.001208
-40.000000	0.008395
-30.000000	0.023995
-20.000000	0.068640
-10.000000	0.170553
0.000000	0.334074
10.000000	0.508154
20.000000	0.642272
30.000000	0.730660
40.000000	0.787514
50.000000	0.825460
60.000000	0.852126
70.000000	0.871774
80.000000	nan
90.000000	nan
100.000000	nan
