0.000000e+00	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	-6.000000e-02	
2.500000e-05	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	-5.999738e-02	
5.000000e-05	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	-5.998083e-02	
7.500000e-05	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	-5.996696e-02	
1.000000e-04	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	-5.995443e-02	
1.250000e-04	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	-5.994265e-02	
1.500000e-04	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	-5.993134e-02	
1.750000e-04	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	-5.992032e-02	
2.000000e-04	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	-5.990951e-02	
2.250000e-04	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	-5.989884e-02	
2.500000e-04	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	-5.988828e-02	
2.750000e-04	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	-5.987780e-02	
3.000000e-04	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	-5.986740e-02	
3.250000e-04	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	-5.985706e-02	
3.500000e-04	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	-5.984677e-02	
